"타임스탬프","자신의 점수","자신의 퍼센트","자신의 등수","하고싶은말"
"2018/11/17 4:46:28 오전 GMT+9","1214","87","","절대평가갑시다"
"2018/11/17 4:49:40 오전 GMT+9","1214","88","",""
"2018/11/17 4:50:50 오전 GMT+9","399520","1","",""
"2018/11/17 4:50:55 오전 GMT+9","400000","1","","장난같지만 진짜 점수임"
"2018/11/17 4:52:54 오전 GMT+9","555","92","",""
"2018/11/17 4:53:29 오전 GMT+9","458654","0","67",""
"2018/11/17 4:58:49 오전 GMT+9","59","100","",""
"2018/11/17 4:59:26 오전 GMT+9","144872","13","","이게 히든 복각이냐 우중아"
"2018/11/17 5:02:52 오전 GMT+9","555","90","",""
"2018/11/17 5:04:37 오전 GMT+9","355825","2","","."
"2018/11/17 5:05:03 오전 GMT+9","59","100","","."
"2018/11/17 5:06:13 오전 GMT+9","136169","14","","."
"2018/11/17 5:06:27 오전 GMT+9","144000","13","","."
"2018/11/17 5:06:53 오전 GMT+9","72211","22","","."
"2018/11/17 5:08:16 오전 GMT+9","26704","44","","."
"2018/11/17 5:08:28 오전 GMT+9","7240","71","","."
"2018/11/17 5:09:30 오전 GMT+9","7581","70","","."
"2018/11/17 5:13:47 오전 GMT+9","136169","14","","등수 어떻게 보는지 모르겠어요"
"2018/11/17 5:14:53 오전 GMT+9","224164","8","","시발겜"
"2018/11/17 5:20:47 오전 GMT+9","422555","1","","우중비모"
"2018/11/17 5:21:51 오전 GMT+9","25341","46","",""
"2018/11/17 5:26:20 오전 GMT+9","21607","50","","."
"2018/11/17 5:58:58 오전 GMT+9","32330","39","","."
"2018/11/17 6:01:28 오전 GMT+9","536941","0","25","히든전장을 상대평가로 안 풀었으면 좋겠습니다."
"2018/11/17 6:04:36 오전 GMT+9","428514","1","","다음 복각히든 이딴식이면 꼬접할거임 시발"
"2018/11/17 6:08:31 오전 GMT+9","143434","13","",""
"2018/11/17 6:12:51 오전 GMT+9","78000","21","",""
"2018/11/17 6:13:23 오전 GMT+9","492674","0","","40등인데 입력하니 올바른 등수를 입력해주세요. (1~100)라고 뜸"
"2018/11/17 6:14:31 오전 GMT+9","403076","1","",""
"2018/11/17 6:17:14 오전 GMT+9","309454","4","","."
"2018/11/17 6:17:14 오전 GMT+9","3218","81","","씹새 이쁘다 핥핥"
"2018/11/17 6:18:25 오전 GMT+9","303423","4","",""
"2018/11/17 6:25:14 오전 GMT+9","372834","2","",""
"2018/11/17 6:28:41 오전 GMT+9","1214","88","",""
"2018/11/17 6:29:03 오전 GMT+9","182766","10","",""
"2018/11/17 6:38:56 오전 GMT+9","474300","0","",""
"2018/11/17 6:42:16 오전 GMT+9","8242","69","",""
"2018/11/17 6:44:07 오전 GMT+9","435694","0","",""
"2018/11/17 6:55:06 오전 GMT+9","459","96","",""
"2018/11/17 7:07:00 오전 GMT+9","333508","3","","등수는 안나오는데"
"2018/11/17 7:10:14 오전 GMT+9","322408","3","","보급로좆망겜"
"2018/11/17 7:13:52 오전 GMT+9","222086","0","","어려워"
"2018/11/17 7:15:54 오전 GMT+9","242083","5","","바닥작하러감 ㅅㅂ"
"2018/11/17 7:31:55 오전 GMT+9","362634","2","","고생 많으십니다"
"2018/11/17 7:56:08 오전 GMT+9","301962","4","","바닥작 개꿀"
"2018/11/17 7:58:24 오전 GMT+9","414210","1","",""
"2018/11/17 8:00:49 오전 GMT+9","204695","9","","우중아 다음엔 꼭 절대평가로 전장컷 만들자 아닐시 느그애미랑 진핑이 공산당원에게 강간섹스 당하는줄 알어"
"2018/11/17 8:01:34 오전 GMT+9","240318","7","",""
"2018/11/17 8:16:37 오전 GMT+9","120771","15","",""
"2018/11/17 8:19:23 오전 GMT+9","459","98","",""
"2018/11/17 8:38:16 오전 GMT+9","462697","0","63",""
"2018/11/17 8:41:15 오전 GMT+9","459","93","","바닥작"
"2018/11/17 8:41:48 오전 GMT+9","459","97","","바닥작"
"2018/11/17 8:51:14 오전 GMT+9","476998","0","54","초반 랭킹 기념으로 카톡봇에 476998점 54위 10제대라고 적었는데 54퍼로 인식함 수정바람"
"2018/11/17 8:52:00 오전 GMT+9","151933","12","","포도없었으면 히드라못잡아서 망했음 포도갓갓"
"2018/11/17 9:00:17 오전 GMT+9","282919","4","","힘내시길!!"
"2018/11/17 9:13:31 오전 GMT+9","353361","2","","이번 히든은 전략적인 요소가 너무 없음"
"2018/11/17 9:13:35 오전 GMT+9","313198","3","","통계 잘 볼게요"
"2018/11/17 9:14:11 오전 GMT+9","275000","7","",""
"2018/11/17 9:15:56 오전 GMT+9","46000","90","",""
"2018/11/17 9:19:44 오전 GMT+9","242137","6","",""
"2018/11/17 9:24:33 오전 GMT+9","340648","3","",""
"2018/11/17 9:28:08 오전 GMT+9","327384","3","","바닥작 화이팅!"
"2018/11/17 9:31:44 오전 GMT+9","267036","5","","우중비모"
"2018/11/17 9:35:37 오전 GMT+9","253649","6","",""
"2018/11/17 9:38:34 오전 GMT+9","372050","2","","아까 5퍼로 잘못 적었는데 다시보니 2퍼였음 쏘리합니다"
"2018/11/17 9:48:45 오전 GMT+9","411846","1","","기모띠"
"2018/11/17 9:50:00 오전 GMT+9","416368","1","",""
"2018/11/17 9:55:02 오전 GMT+9","309041","4","","바닥작 만세"
"2018/11/17 10:00:28 오전 GMT+9","338826","3","","삐슝피슝삐융"
"2018/11/17 10:06:44 오전 GMT+9","216160","8","",""
"2018/11/17 10:30:23 오전 GMT+9","240361","7","","제발 복각때는 좀 전장좀 먹어보자"
"2018/11/17 10:31:05 오전 GMT+9","5587","74","",""
"2018/11/17 10:42:28 오전 GMT+9","434149","0","94","답은바닥런이다"
"2018/11/17 10:55:55 오전 GMT+9","1214","88","",""
"2018/11/17 10:56:42 오전 GMT+9","279337","5","","ㄷㄷ해"
"2018/11/17 11:09:10 오전 GMT+9","308754","4","",""
"2018/11/17 12:14:11 오후 GMT+9","291904","1","","구아전장먹고싶어요"
"2018/11/17 12:26:10 오후 GMT+9","354010","2","",""
"2018/11/17 12:27:43 오후 GMT+9","459","100","",""
"2018/11/17 12:41:55 오후 GMT+9","459","96","",""
"2018/11/17 12:52:22 오후 GMT+9","459","98","","한마리잡고 나올 수 있는 최소점수인데 98퍼 어케했노 시발년ㄴ아"
"2018/11/17 12:57:07 오후 GMT+9","410000","1","",""
"2018/11/17 1:00:59 오후 GMT+9","100748","17","",""
"2018/11/17 1:40:08 오후 GMT+9","110829","16","",""
"2018/11/17 1:40:48 오후 GMT+9","339997","3","","개빡씨네"
"2018/11/17 1:44:00 오후 GMT+9","430170","0","99","인백 들어서 행복한 거시애오"
"2018/11/17 2:08:11 오후 GMT+9","385886","1","","소전 히든 절대평가 도입점.."
"2018/11/17 2:14:37 오후 GMT+9","5138","75","","바닥작하자 두번하자 바닥작하자 두번하자"
"2018/11/17 2:19:03 오후 GMT+9","459","96","",""
"2018/11/17 2:45:06 오후 GMT+9","352267","2","",""
"2018/11/17 2:50:27 오후 GMT+9","161116","11","",""
"2018/11/17 2:50:42 오후 GMT+9","100000","17","","다들 바닥작 한번씩 해주세요"
"2018/11/17 3:02:15 오후 GMT+9","73290","22","",""
"2018/11/17 3:10:54 오후 GMT+9","443396","0","85","아무리 봐도 난이도 진심 미친것 같음"
"2018/11/17 3:14:09 오후 GMT+9","313889","3","","통계잘볼게요"
"2018/11/17 3:41:24 오후 GMT+9","314606","3","",""
